"Spieler","Marktpreis","Datum"
Admir Mehmedi,3859329,2020-02-18 01:00:00
Admir Mehmedi,3970534,2020-02-19 12:12:00
Admir Mehmedi,4081611,2020-02-20 00:20:00
Admir Mehmedi,4210549,2020-02-21 01:00:00
Admir Mehmedi,4319162,2020-02-22 01:00:00
Admir Mehmedi,4409162,2020-02-23 01:00:00
Admir Mehmedi,4485312,2020-02-24 01:00:00
Admir Mehmedi,4552639,2020-02-25 01:00:00
Admir Mehmedi,4611672,2020-02-26 01:00:00
Admir Mehmedi,4624839,2020-02-27 01:00:00
Admir Mehmedi,4597615,2020-02-28 01:00:00
Admir Mehmedi,4603675,2020-02-29 01:00:00
Admir Mehmedi,4504429,2020-03-01 18:21:00
Admir Mehmedi,4350623,2020-03-02 13:18:00
Admir Mehmedi,4177578,2020-03-03 21:25:00
Admir Mehmedi,3993518,2020-03-04 09:47:00
Admir Mehmedi,3823646,2020-03-05 00:46:00
Admir Mehmedi,3647973,2020-03-06 19:10:00
Admir Mehmedi,3483353,2020-03-07 20:22:00
Admir Mehmedi,3314522,2020-03-08 14:38:00
Admir Mehmedi,3175015,2020-03-09 00:27:00
Adrian Oeynhausen,500000,2020-01-23 01:00:00
Adrian Oeynhausen,500000,2020-01-24 01:00:00
Adrian Oeynhausen,500000,2020-01-25 01:00:00
Adrian Oeynhausen,500000,2020-01-26 01:00:00
Adrian Oeynhausen,500000,2020-01-27 01:00:00
Adrian Oeynhausen,500000,2020-01-28 01:00:00
Adrian Oeynhausen,500000,2020-01-29 01:00:00
Adrian Oeynhausen,500000,2020-01-30 01:00:00
Adrian Oeynhausen,500000,2020-01-31 01:00:00
Adrian Oeynhausen,500000,2020-02-01 01:00:00
Adrian Oeynhausen,500000,2020-02-02 01:00:00
Adrian Oeynhausen,500000,2020-02-03 01:00:00
Adrian Oeynhausen,500000,2020-02-04 01:00:00
Adrian Oeynhausen,500000,2020-02-05 19:00:00
Adrian Oeynhausen,500000,2020-02-06 01:00:00
Adrian Oeynhausen,500000,2020-02-07 01:00:00
Adrian Oeynhausen,500000,2020-02-08 01:00:00
Adrian Oeynhausen,500000,2020-02-09 01:00:00
Adrian Oeynhausen,500000,2020-02-10 01:00:00
Adrian Oeynhausen,500000,2020-02-11 01:00:00
Adrian Oeynhausen,500000,2020-02-12 01:00:00
Adrian Oeynhausen,500000,2020-02-13 01:00:00
Adrian Oeynhausen,500000,2020-02-14 01:00:00
Adrian Oeynhausen,500000,2020-02-15 01:00:00
Adrian Oeynhausen,500000,2020-02-16 01:00:00
Adrian Oeynhausen,500000,2020-02-17 01:00:00
Adrian Oeynhausen,500000,2020-02-18 01:00:00
Adrian Oeynhausen,500000,2020-02-19 12:12:00
Adrian Oeynhausen,500000,2020-02-20 00:20:00
Adrian Oeynhausen,500000,2020-02-21 01:00:00
Adrian Oeynhausen,500000,2020-02-22 01:00:00
Adrian Oeynhausen,500000,2020-02-23 01:00:00
Adrian Oeynhausen,500000,2020-02-24 01:00:00
Adrian Oeynhausen,500000,2020-02-25 01:00:00
Adrian Oeynhausen,500000,2020-02-26 01:00:00
Adrian Oeynhausen,500000,2020-02-27 01:00:00
Adrian Oeynhausen,500000,2020-02-28 01:00:00
Adrian Oeynhausen,500000,2020-02-29 01:00:00
Adrian Oeynhausen,500000,2020-03-01 18:21:00
Adrian Oeynhausen,500000,2020-03-02 13:18:00
Adrian Oeynhausen,500000,2020-03-03 21:25:00
Adrian Oeynhausen,500000,2020-03-04 09:47:00
Adrian Oeynhausen,500000,2020-03-05 00:46:00
Adrian Oeynhausen,500000,2020-03-06 19:10:00
Adrian Oeynhausen,500000,2020-03-07 20:22:00
Adrian Oeynhausen,500000,2020-03-08 14:38:00
Adrian Oeynhausen,500000,2020-03-09 00:27:00
Adrian Stanilewicz,500000,2020-01-23 01:00:00
Adrian Stanilewicz,500000,2020-01-24 01:00:00
Adrian Stanilewicz,500000,2020-01-25 01:00:00
Adrian Stanilewicz,500000,2020-01-26 01:00:00
Adrian Stanilewicz,500000,2020-01-27 01:00:00
Adrian Stanilewicz,500000,2020-01-28 01:00:00
Adrian Stanilewicz,500000,2020-01-29 01:00:00
Adrian Stanilewicz,500000,2020-01-30 01:00:00
Adrian Stanilewicz,500000,2020-01-31 01:00:00
Adrian Stanilewicz,500000,2020-02-01 01:00:00
Adrian Stanilewicz,500000,2020-02-02 01:00:00
Adrian Stanilewicz,500000,2020-02-03 01:00:00
Adrian Stanilewicz,500000,2020-02-04 01:00:00
Adrian Stanilewicz,500000,2020-02-05 19:00:00
Adrian Stanilewicz,500000,2020-02-06 01:00:00
Adrian Stanilewicz,500000,2020-02-07 01:00:00
Adrian Stanilewicz,500000,2020-02-08 01:00:00
Adrian Stanilewicz,500000,2020-02-09 01:00:00
Adrian Stanilewicz,500000,2020-02-10 01:00:00
Adrian Stanilewicz,500000,2020-02-11 01:00:00
Adrian Stanilewicz,500000,2020-02-12 01:00:00
Adrian Stanilewicz,500000,2020-02-13 01:00:00
Adrian Stanilewicz,500000,2020-02-14 01:00:00
Adrian Stanilewicz,500000,2020-02-15 01:00:00
Adrian Stanilewicz,500000,2020-02-16 01:00:00
Adrian Stanilewicz,500000,2020-02-17 01:00:00
Adrian Stanilewicz,500000,2020-02-18 01:00:00
Adrian Stanilewicz,500000,2020-02-19 12:12:00
Adrian Stanilewicz,500000,2020-02-20 00:20:00
Adrian Stanilewicz,500000,2020-02-21 01:00:00
Adrian Stanilewicz,500000,2020-02-22 01:00:00
Adrian Stanilewicz,500000,2020-02-23 01:00:00
Adrian Stanilewicz,500000,2020-02-24 01:00:00
Adrian Stanilewicz,500000,2020-02-25 01:00:00
Adrian Stanilewicz,500000,2020-02-26 01:00:00
Adrian Stanilewicz,500000,2020-02-27 01:00:00
Adrian Stanilewicz,500000,2020-02-28 01:00:00
Adrian Stanilewicz,500000,2020-02-29 01:00:00
Adrian Stanilewicz,500000,2020-03-01 18:21:00
Adrian Stanilewicz,500000,2020-03-02 13:18:00
Adrian Stanilewicz,500000,2020-03-03 21:25:00
Adrian Stanilewicz,500000,2020-03-04 09:47:00
Adrian Stanilewicz,500000,2020-03-05 00:46:00
Adrian Stanilewicz,500000,2020-03-06 19:10:00
Adrian Stanilewicz,500000,2020-03-07 20:22:00
Adrian Stanilewicz,500000,2020-03-08 14:38:00
Adrian Stanilewicz,500000,2020-03-09 00:27:00
Ahmed Kutucu,2557004,2020-01-23 01:00:00
Ahmed Kutucu,2429132,2020-01-24 01:00:00
Ahmed Kutucu,2324707,2020-01-25 01:00:00
Ahmed Kutucu,2224041,2020-01-26 01:00:00
Ahmed Kutucu,2080855,2020-01-27 01:00:00
Ahmed Kutucu,1962816,2020-01-28 01:00:00
Ahmed Kutucu,1843629,2020-01-29 01:00:00
Ahmed Kutucu,1665007,2020-01-30 01:00:00
Ahmed Kutucu,1471346,2020-01-31 01:00:00
Ahmed Kutucu,1301076,2020-02-01 01:00:00
Ahmed Kutucu,1106954,2020-02-02 01:00:00
Ahmed Kutucu,909816,2020-02-03 01:00:00
Ahmed Kutucu,729490,2020-02-04 01:00:00
Ahmed Kutucu,616418,2020-02-05 19:00:00
Ahmed Kutucu,600292,2020-02-06 01:00:00
Ahmed Kutucu,575638,2020-02-07 01:00:00
Ahmed Kutucu,584754,2020-02-08 01:00:00
Ahmed Kutucu,621902,2020-02-09 01:00:00
Ahmed Kutucu,872413,2020-02-10 01:00:00
Ahmed Kutucu,1144360,2020-02-11 01:00:00
Ahmed Kutucu,1408403,2020-02-12 01:00:00
Ahmed Kutucu,1664591,2020-02-13 01:00:00
Ahmed Kutucu,1845454,2020-02-14 01:00:00
Ahmed Kutucu,1999630,2020-02-15 01:00:00
Ahmed Kutucu,2126586,2020-02-16 01:00:00
Ahmed Kutucu,2248953,2020-02-17 01:00:00
Ahmed Kutucu,2286834,2020-02-18 01:00:00
Ahmed Kutucu,2319289,2020-02-19 12:12:00
Ahmed Kutucu,2249524,2020-02-20 00:20:00
Ahmed Kutucu,2167961,2020-02-21 01:00:00
Ahmed Kutucu,2069148,2020-02-22 01:00:00
Ahmed Kutucu,1913855,2020-02-23 01:00:00
Ahmed Kutucu,1712700,2020-02-24 01:00:00
Ahmed Kutucu,1519590,2020-02-25 01:00:00
Ahmed Kutucu,1353981,2020-02-26 01:00:00
Ahmed Kutucu,1194101,2020-02-27 01:00:00
Ahmed Kutucu,1060016,2020-02-28 01:00:00
Ahmed Kutucu,933169,2020-02-29 01:00:00
Ahmed Kutucu,777154,2020-03-01 18:21:00
Ahmed Kutucu,622951,2020-03-02 13:18:00
Ahmed Kutucu,500000,2020-03-03 21:25:00
Ahmed Kutucu,500000,2020-03-04 09:47:00
Ahmed Kutucu,524917,2020-03-05 00:46:00
Ahmed Kutucu,524917,2020-03-06 19:10:00
Ahmed Kutucu,542010,2020-03-07 20:22:00
Ahmed Kutucu,541245,2020-03-08 14:38:00
Ahmed Kutucu,516226,2020-03-09 00:27:00
Ahmet Gürleyen,500000,2020-01-23 01:00:00
Ahmet Gürleyen,500000,2020-01-24 01:00:00
Ahmet Gürleyen,500000,2020-01-25 01:00:00
Ahmet Gürleyen,500000,2020-01-26 01:00:00
Ahmet Gürleyen,500000,2020-01-27 01:00:00
Ahmet Gürleyen,500000,2020-01-28 01:00:00
Ahmet Gürleyen,500000,2020-01-29 01:00:00
Ahmet Gürleyen,500000,2020-01-30 01:00:00
Ahmet Gürleyen,500000,2020-01-31 01:00:00
Ahmet Gürleyen,500000,2020-02-01 01:00:00
Ahmet Gürleyen,500000,2020-02-02 01:00:00
Ahmet Gürleyen,500000,2020-02-03 01:00:00
Ahmet Gürleyen,500000,2020-02-04 01:00:00
